CCTV1,rtp://239.121.4.113:8636
CCTV2,rtp://239.121.4.155:8914
CCTV3,rtp://239.121.4.151:8890
CCTV4,rtp://239.121.4.134:8786
CCTV5,rtp://239.121.4.152:8896
CCTV5+,rtp://239.121.4.140:8852
CCTV6,rtp://239.121.4.153:8902
CCTV7,rtp://239.121.4.156:8920
CCTV8,rtp://239.121.4.154:8908
CCTV9,rtp://239.121.4.157:8926
CCTV10,rtp://239.121.4.158:8932
CCTV11,rtp://239.121.4.150:9202
CCTV12,rtp://239.121.4.159:8938
CCTV13,rtp://239.121.4.13:8028
CCTV14,rtp://239.121.4.160:8944
CCTV15,rtp://239.121.4.202:9208
CCTV16,rtp://239.121.4.122:8008
CCTV17,rtp://239.121.4.61:8340
CCTV4美洲,rtp://239.121.4.124:8002
CCTV4欧洲,rtp://239.121.4.123:8000
中国教育1台,rtp://239.121.4.180:9064
中国教育4台,rtp://239.121.4.199:9178
CGTN,rtp://239.121.4.125:8014
CGTN-纪录,rtp://239.121.4.136:8018
CGTN-阿拉伯语,rtp://239.121.4.207:8026
CGTN-俄语,rtp://239.121.4.208:8030
CGTN-法语,rtp://239.121.4.206:8024
CGTN-西班牙语,rtp://239.121.4.137:8020
安徽卫视,rtp://239.121.4.161:8950
北京卫视,rtp://239.121.4.117:8684
东方卫视,rtp://239.121.4.109:8636
东南卫视,rtp://239.121.4.102:9226
河北卫视,rtp://239.121.4.76:8430
广东卫视,rtp://239.121.4.118:8690
江苏卫视,rtp://239.121.4.115:8672
江西卫视,rtp://239.121.4.111:8648
贵州卫视,rtp://239.121.4.65:8364
黑龙江卫视,rtp://239.121.4.120:8702
湖北卫视,rtp://239.121.4.126:8738
湖南卫视,rtp://239.121.4.114:8666
浙江卫视,rtp://239.121.4.116:8678
山东卫视,rtp://239.121.4.162:8956
深圳卫视,rtp://239.121.4.119:8696
天津卫视,rtp://239.121.4.72:8406
重庆卫视,rtp://239.121.4.36:8190
辽宁卫视,rtp://239.121.4.163:8962
吉林卫视,rtp://239.121.4.43:8232
金鹰纪实,rtp://239.121.4.167:8986
欢笑剧场,rtp://239.121.4.64:8358
动漫秀场,rtp://239.121.4.74:8418
纪实人文,rtp://239.121.4.164:8968
东方财经,rtp://239.121.4.71:8400
中国天气,rtp://239.121.4.112:8654
宁夏卫视,rtp://239.121.4.94:8538
宁夏公共,rtp://239.121.4.97:8556
宁夏教育,rtp://239.121.4.200:9184
宁夏经济,rtp://239.121.4.91:8520
宁夏少儿,rtp://239.121.4.63:8352
宁夏文旅,rtp://239.121.4.93:8532
银川公共,rtp://239.121.4.21:8100
银川生活,rtp://239.121.4.106:8610
银川文体,rtp://239.121.4.22:8106
