CCTV1,rtp://239.49.8.129:6000
CCTV2,rtp://239.49.8.130:6000
CCTV3,rtp://239.49.9.31:6000
CCTV4,rtp://239.49.8.131:6000
CCTV5,rtp://239.49.9.32:6000
CCTV5+,rtp://239.49.8.137:6000
CCTV6,rtp://239.49.9.33:6000
CCTV7,rtp://239.49.8.132:6000
CCTV8,rtp://239.49.9.34:6000
CCTV9,rtp://239.49.8.133:6000
CCTV10,rtp://239.49.8.134:6000
CCTV12,rtp://239.49.8.135:6000
CCTV13,rtp://239.49.9.43:6000
CCTV14,rtp://239.49.8.136:6000
江苏城市,rtp://239.49.8.107:8000
江苏综艺,rtp://239.49.8.108:8000
江苏体育,rtp://239.49.8.117:8000
江苏影视,rtp://239.49.8.118:8000
江苏卡通,rtp://239.49.8.119:8000
江苏新闻,rtp://239.49.8.120:8000
江苏教育,rtp://239.49.8.122:8000
江苏国际,rtp://239.49.1.23:6000
好享购物,rtp://239.49.9.41:6000
江苏教育,rtp://239.49.9.42:6000
吉林卫视,rtp://239.49.9.1:6000
聚鲨环球,rtp://239.49.9.2:6000
南京新闻,rtp://239.49.9.3:6000
南京十八,rtp://239.49.9.4:6000
电视指南,rtp://239.49.9.5:6000
风云足球,rtp://239.49.9.6:6000
高尔夫球,rtp://239.49.9.7:6000
世界地理,rtp://239.49.9.8:6000
兵器科技,rtp://239.49.9.9:6000
风云剧场,rtp://239.49.9.10:6000
文化精品,rtp://239.49.9.11:6000
怀旧剧场,rtp://239.49.9.12:6000
风云音乐,rtp://239.49.9.13:6000
女性时尚,rtp://239.49.9.14:6000
第一剧场,rtp://239.49.9.15:6000
中视购物,rtp://239.49.9.16:6000
盱眙新闻,rtp://239.49.9.18:6000
沛县新闻,rtp://239.49.9.19:6000
泰州新闻,rtp://239.49.9.20:6000
河南梨园,rtp://239.49.9.21:6000
央视台球,rtp://239.49.9.22:6000
金鹰卡通,rtp://239.49.9.23:6000
徐州新闻,rtp://239.49.9.45:6000
淮安综合,rtp://239.49.9.46:6000
泗洪综合,rtp://239.49.9.47:6000
东海新闻,rtp://239.49.9.48:6000

