CCTV1,rtp://239.254.96.96:8550
CCTV2,rtp://239.69.1.102:10250
CCTV3,rtp://239.69.1.122:10370
CCTV4,rtp://239.69.1.138:10466
CCTV4欧洲,rtp://239.69.1.231:11028
CCTV4美洲,rtp://239.69.1.232:11034
CCTV5,rtp://239.69.1.123:10376
CCTV5+,rtp://239.254.96.234:9484
CCTV6,rtp://239.69.1.124:10382
CCTV7,rtp://239.69.1.103:10256
CCTV8,rtp://239.69.1.125:10388
CCTV9,rtp://239.69.1.104:10262
CCTV10,rtp://239.69.1.105:10268
CCTV11,rtp://239.69.1.154:10560
CCTV12,rtp://239.69.1.106:10274
CCTV13,rtp://239.254.96.161:9040
CCTV14,rtp://239.69.1.107:10280
CCTV15,rtp://239.69.1.155:10566
CCTV16,rtp://239.69.1.247:11124
CCTV17,rtp://239.69.1.152:10548
CCTV4K,rtp://239.69.1.111:10304
CCTV16 4K,rtp://239.69.1.12:9712
CCTV16 4K,rtp://239.69.1.249:11136
北京卫视4K,rtp://239.69.2.22:11286
东方卫视4K,rtp://239.69.2.37:11376
广东卫视4K,rtp://239.69.2.27:11316
深圳卫视4K,rtp://239.69.2.28:11322
湖南卫视4K,rtp://239.69.1.13:9718
湖南卫视4K,rtp://239.69.1.27:9802
湖南卫视4K,rtp://239.69.2.34:11358
山东卫视4K,rtp://239.69.1.26:9796
山东卫视4K,rtp://239.69.2.38:11382
四川卫视4K,rtp://239.69.2.39:11388
四川卫视4K,rtp://239.69.1.28:9808
浙江卫视4K,rtp://239.69.2.35:11364
浙江卫视4K,rtp://239.69.1.25:9790
江苏卫视4K,rtp://239.69.1.24:9784
江苏卫视4K,rtp://239.69.2.36:11370
欢笑剧场4K,rtp://239.69.2.5:11184
湖北综合,rtp://239.69.1.42:9892
湖北公共新闻,rtp://239.69.1.40:9880
湖北垄上,rtp://239.69.1.43:9898
湖北影视,rtp://239.69.1.204:10866
湖北教育,rtp://239.69.1.206:10878
湖北生活,rtp://239.69.1.205:10872
湖北经视,rtp://239.69.1.41:9886
武汉综合,rtp://239.69.1.145:10506
武汉教育,rtp://239.69.1.60:9994
武汉文体,rtp://239.69.1.147:10518
武汉电视剧,rtp://239.69.1.146:10512
武汉科技生活,rtp://239.69.1.251:11148
蔡甸综合,rtp://239.69.1.245:11112
房县综合,rtp://239.69.1.192:10794
阳新综合,rtp://239.69.1.34:9844
CETV1,rtp://239.69.1.110:10298
CETV4,rtp://239.69.2.29:11328
CGTN,rtp://239.254.96.175:9124
CGTN纪录,rtp://239.69.1.233:11040
CGTN阿语,rtp://239.69.1.221:10968
CGTN俄语,rtp://239.69.1.222:10974
CGTN西语,rtp://239.69.1.234:11046
CGTN法语,rtp://239.69.1.235:11052
CHC影迷电影,rtp://239.69.1.241:11088
CHC家庭影院,rtp://239.69.1.243:11100
CHC动作电影,rtp://239.69.1.242:11094
第一剧场,rtp://239.69.1.74:10084
风云足球,rtp://239.69.1.81:10126
风云音乐,rtp://239.69.1.90:10180
世界地理,rtp://239.69.1.91:10186
电视指南,rtp://239.69.1.87:10162
怀旧剧场,rtp://239.69.1.86:10156
怀旧剧场,rtp://239.69.1.89:10174
兵器科技,rtp://239.69.1.79:10114
高尔夫网球,rtp://239.69.1.83:10138
央视台球,rtp://239.69.1.98:10224
梨园频道,rtp://239.69.1.33:9838
中学生,rtp://239.69.2.17:11256
法治天地,rtp://239.69.2.10:11214
游戏风云,rtp://239.69.2.8:11202
茶频道,rtp://239.69.1.144:10500
金色学堂,rtp://239.69.2.13:11232
武术世界,rtp://239.69.1.47:9922
文物宝库,rtp://239.69.1.46:9916
快乐垂钓,rtp://239.69.1.142:10488
生活时尚,rtp://239.69.2.11:11220
中国交通,rtp://239.69.2.3:11172
乐游,rtp://239.69.2.12:11226
动漫秀场,rtp://239.69.2.6:11190
重庆卫视,rtp://239.69.1.149:10530
江苏卫视,rtp://239.254.96.144:8938
浙江卫视,rtp://239.254.96.143:8932
东方卫视,rtp://239.254.96.142:8926
深圳卫视,rtp://239.254.96.137:8896
北京卫视,rtp://239.254.96.141:8920
山东卫视,rtp://239.69.1.69:10054
天津卫视,rtp://239.69.1.68:10048
贵州卫视,rtp://239.69.1.150:10536
四川卫视,rtp://239.69.1.169:10650
云南卫视,rtp://239.69.2.25:11304
广西卫视,rtp://239.69.1.191:10788
黑龙江卫视,rtp://239.254.96.138:8902
安徽卫视,rtp://239.69.1.70:10060
江西卫视,rtp://239.69.1.126:10394
湖北卫视,rtp://239.254.96.115:8664
旅游卫视,rtp://239.69.1.151:10542
东南卫视,rtp://239.69.1.108:10286
吉林卫视,rtp://239.69.1.212:10914
辽宁卫视,rtp://239.69.1.71:10066
湖南卫视,rtp://239.254.96.139:8908
广东卫视,rtp://239.254.96.140:8914
河南卫视,rtp://239.69.1.168:10644
河北卫视,rtp://239.254.96.113:9616
河北卫视,rtp://239.69.1.157:10578
宁夏卫视,rtp://239.69.2.33:11352
甘肃卫视,rtp://239.69.2.23:11292
青海卫视,rtp://239.69.2.24:11298
新疆卫视,rtp://239.69.2.30:11334
西藏卫视,rtp://239.69.2.31:11340
兵团卫视,rtp://239.69.2.32:11346
金鹰卡通,rtp://239.69.1.248:11130
金鹰纪实,rtp://239.69.1.109:10292
卡酷少儿,rtp://239.69.1.193:10800
东方财经,rtp://239.69.2.9:11208
都市剧场,rtp://239.69.2.4:11178
中华特产,rtp://239.69.2.18:11262
凤凰中文台,rtp://239.69.2.20:11274
凤凰资讯台,rtp://239.69.2.19:11268
九屏导视,rtp://239.69.1.156:10572
四海钓鱼,rtp://239.69.1.244:11106
