CCTV1,rtp://239.125.2.66:4120
CCTV2,rtp://239.125.2.65:4120
CCTV3,rtp://239.125.2.52:4120
CCTV4,rtp://239.125.2.64:4120
CCTV4欧洲,rtp://239.125.2.196:4120
CCTV4美洲,rtp://239.125.2.197:4120
CCTV5,rtp://239.125.2.54:4120
CCTV5+,rtp://239.125.1.57:5000
CCTV6,rtp://239.125.2.56:4120
CCTV7,rtp://239.125.2.63:4120
CCTV8,rtp://239.125.2.58:4120
CCTV9,rtp://239.125.2.62:4120
CCTV10,rtp://239.125.2.61:4120
CCTV11,rtp://239.125.1.101:4120
CCTV12,rtp://239.125.2.60:4120
CCTV13,rtp://239.125.1.53:4120
CCTV14,rtp://239.125.2.59:4120
CCTV15,rtp://239.125.1.102:4120
CCTV16,rtp://239.125.2.206:4120
CCTV17,rtp://239.125.2.204:4120
CCTV4K,rtp://239.125.1.214:4120
CCTV16 4K,rtp://239.125.2.218:4120
北京卫视4K,rtp://239.125.2.105:4120
东方卫视4K,rtp://239.125.1.235:4120
广东卫视4K,rtp://239.125.1.224:4120
深圳卫视4K,rtp://239.125.1.223:4120
湖南卫视4K,rtp://239.125.1.232:4120
山东卫视4K,rtp://239.125.1.237:4120
四川卫视4K,rtp://239.125.1.236:4120
浙江卫视4K,rtp://239.125.1.234:4120
江苏卫视4K,rtp://239.125.1.233:4120
CETV1,rtp://239.125.1.204:4120
CETV4,rtp://239.125.1.110:4120
CGTN,rtp://239.125.2.198:4120
CGTN纪录,rtp://239.125.2.199:4120
CGTN阿语,rtp://239.125.2.202:4120
CGTN俄语,rtp://239.125.2.203:4120
CGTN西语,rtp://239.125.2.200:4120
CGTN法语,rtp://239.125.2.201:4120
金鹰纪实,rtp://239.125.2.106:4134
重庆卫视,rtp://239.125.2.102:4130
江苏卫视,rtp://239.125.2.69:4120
浙江卫视,rtp://239.125.2.68:4120
东方卫视,rtp://239.125.2.82:4120
深圳卫视,rtp://239.125.2.76:4120
北京卫视,rtp://239.125.2.73:4120
山东卫视,rtp://239.125.2.75:4120
天津卫视,rtp://239.125.2.81:4120
贵州卫视,rtp://239.125.2.80:4120
四川卫视,rtp://239.125.2.79:4120
云南卫视,rtp://239.125.1.231:4120
广西卫视,rtp://239.125.1.225:4120
黑龙江卫视,rtp://239.125.2.83:4120
安徽卫视,rtp://239.125.2.78:4120
山西卫视,rtp://239.125.1.226:4120
江西卫视,rtp://239.125.2.101:4129
湖北卫视,rtp://239.125.2.74:4120
旅游卫视,rtp://239.125.2.189:4120
东南卫视,rtp://239.125.2.77:4120
吉林卫视,rtp://239.125.2.191:4120
辽宁卫视,rtp://239.125.2.72:4120
湖南卫视,rtp://239.125.2.67:4120
广东卫视,rtp://239.125.2.71:4120
河南卫视,rtp://239.125.1.215:4120
河北卫视,rtp://239.125.2.70:4120
宁夏卫视,rtp://239.125.1.230:4120
甘肃卫视,rtp://239.125.2.190:4120
新疆卫视,rtp://239.125.1.228:4120
西藏卫视,rtp://239.125.1.227:4120
兵团卫视,rtp://239.125.1.229:4120
卡酷少儿,rtp://239.125.1.127:4130
内蒙农牧,rtp://239.125.1.73:4120
内蒙卫视,rtp://239.125.1.59:5000
内蒙古蒙古语卫视,rtp://239.125.1.66:5000
内蒙古蒙语文化,rtp://239.125.1.71:4120
内蒙少儿,rtp://239.125.1.69:4120
内蒙文体,rtp://239.125.1.72:4120
内蒙经济,rtp://239.125.1.74:4120
内蒙蒙语,rtp://239.125.1.70:4120
山东教育卫视,rtp://239.125.1.178:4130
未识别,rtp://239.125.1.212:4120
未识别,rtp://239.125.1.213:4120
杭锦旗,rtp://239.125.2.212:4120
鄂尔多斯新闻,rtp://239.125.2.165:4154
鄂尔多斯经济,rtp://239.125.2.164:4153
鄂尔多斯蒙语,rtp://239.125.2.162:4151
