CCTV1,udp://239.252.219.200:5140
CCTV2,udp://239.252.220.183:5140
CCTV3,udp://239.252.219.252:5140
CCTV4,udp://239.252.220.184:5140
CCTV5,udp://239.252.219.236:5140
CCTV5+,udp://239.252.219.72:5140
CCTV6,udp://239.252.219.237:5140
CCTV7,udp://239.252.220.185:5140
CCTV8,udp://239.252.219.253:5140
CCTV9,udp://239.252.220.186:5140
CCTV10,udp://239.252.220.91:5140
CCTV11,udp://239.252.219.78:5140
CCTV12,udp://239.252.220.187:5140
CCTV13,udp://239.252.219.139:5140
CCTV14,udp://239.252.220.92:5140
CCTV15,udp://239.252.219.79:5140
CCTV16 4K,udp://239.252.220.237:5140
CCTV17,udp://239.252.220.192:5140
CCTV4K,udp://239.252.220.244:5140
CCTV4欧洲,udp://239.252.219.192:5140
CCTV4美洲,udp://239.252.219.193:5140
央视台球,udp://239.252.219.80:5140
央视文化精品,udp://239.252.219.81:5140
第一剧场,udp://239.252.219.86:5140
风云音乐,udp://239.252.219.87:5140
风云剧场,udp://239.252.219.89:5140
怀旧剧场,udp://239.252.219.90:5140
世界地理,udp://239.252.219.93:5140
女性时尚,udp://239.252.219.94:5140
高尔夫·网球,udp://239.252.219.95:5140
风云足球,udp://239.252.219.96:5140
电视指南,udp://239.252.219.97:5140
兵器科技,udp://239.252.219.98:5140
CHC影迷电影,udp://239.252.219.83:5140
CHC家庭影院,udp://239.252.219.84:5140
CHC动作电影,udp://239.252.219.85:5140
中国教育1台,udp://239.252.220.198:5140
中国教育2台,udp://239.252.219.73:5140
中国教育4台,udp://239.252.219.169:5140
CGTN,udp://239.252.219.194:5140
CGTN纪录,udp://239.252.219.195:5140
CGTN西班牙语,udp://239.252.219.196:5140
CGTN法语,udp://239.252.219.65:5140
CGTN阿拉伯语,udp://239.252.219.66:5140
CGTN俄语,udp://239.252.219.67:5140
CGTN,udp://239.252.220.150:5140
CCTV3综艺,udp://239.252.220.193:5140
CCTV5体育,udp://239.252.219.198:5140
CCTV6电影,udp://239.252.220.195:5140
CCTV8电视剧,udp://239.252.220.196:5140
湖南卫视,udp://239.252.219.201:5140
浙江卫视,udp://239.252.219.210:5140
江苏卫视,udp://239.252.219.214:5140
东方卫视,udp://239.252.219.229:5140
北京卫视,udp://239.252.219.206:5140
广东卫视,udp://239.252.219.213:5140
深圳卫视,udp://239.252.219.212:5140
湖北卫视,udp://239.252.219.208:5140
天津卫视,udp://239.252.220.61:5140
安徽卫视,udp://239.252.220.83:5140
辽宁卫视,udp://239.252.220.62:5140
山东卫视,udp://239.252.219.228:5140
黑龙江卫视,udp://239.252.219.211:5140
